,id_municipio,total,automovel,bonde,caminhao,caminhao trator,caminhonete,camioneta,chassi plataf,ciclomotor,micro-onibus,motocicleta,motoneta,onibus,quadriciclo,reboque,semi-reboque,side-car,outros,trator estei,trator rodas,triciclo,utilitario
5133,2705408,1351.0,384.0,0.0,29.0,0.0,97.0,5.0,0.0,0.0,10.0,766.0,32.0,11.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
5134,2705507,5258.0,1597.0,0.0,152.0,7.0,271.0,98.0,0.0,57.0,24.0,2388.0,358.0,132.0,0.0,125.0,26.0,0.0,3.0,0.0,0.0,2.0,18.0
5135,2705606,1967.0,920.0,0.0,107.0,9.0,117.0,75.0,0.0,3.0,38.0,535.0,25.0,73.0,0.0,48.0,10.0,0.0,0.0,0.0,0.0,0.0,7.0
5136,2705705,6621.0,2041.0,0.0,217.0,12.0,516.0,85.0,0.0,8.0,90.0,3093.0,264.0,75.0,0.0,152.0,36.0,0.0,0.0,0.0,0.0,0.0,32.0
5137,2705804,1947.0,661.0,0.0,45.0,1.0,130.0,10.0,0.0,6.0,17.0,989.0,56.0,13.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
5138,2705903,1178.0,290.0,0.0,14.0,0.0,53.0,5.0,0.0,0.0,3.0,724.0,64.0,14.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
5139,2706000,2804.0,760.0,0.0,64.0,0.0,139.0,30.0,0.0,1.0,38.0,1646.0,58.0,14.0,0.0,31.0,8.0,0.0,0.0,0.0,0.0,0.0,15.0
5140,2706109,3270.0,996.0,0.0,125.0,15.0,219.0,46.0,0.0,0.0,65.0,1600.0,61.0,40.0,0.0,63.0,34.0,0.0,0.0,0.0,0.0,0.0,6.0
5141,2706208,677.0,250.0,0.0,13.0,1.0,61.0,11.0,0.0,1.0,18.0,288.0,15.0,5.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
5142,2706307,28188.0,9553.0,0.0,701.0,55.0,1897.0,500.0,0.0,66.0,343.0,12267.0,1814.0,86.0,0.0,513.0,242.0,7.0,2.0,0.0,1.0,1.0,140.0
5143,2706406,3708.0,1111.0,0.0,82.0,2.0,237.0,40.0,0.0,3.0,92.0,1810.0,234.0,25.0,0.0,55.0,5.0,0.0,0.0,0.0,0.0,3.0,9.0
5144,2706422,2543.0,583.0,0.0,45.0,0.0,229.0,22.0,0.0,9.0,59.0,1505.0,54.0,13.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0
5145,2706448,2888.0,1189.0,0.0,84.0,4.0,216.0,99.0,0.0,194.0,8.0,837.0,60.0,20.0,0.0,114.0,17.0,0.0,1.0,0.0,0.0,0.0,45.0
5146,2706505,2210.0,847.0,0.0,41.0,0.0,123.0,33.0,0.0,199.0,12.0,799.0,41.0,35.0,0.0,59.0,12.0,0.0,0.0,0.0,0.0,1.0,8.0
5147,2706604,1491.0,384.0,0.0,16.0,1.0,102.0,13.0,0.0,4.0,10.0,890.0,32.0,9.0,0.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0
5148,2706703,20091.0,6628.0,0.0,414.0,24.0,1130.0,376.0,0.0,408.0,77.0,8133.0,1963.0,320.0,0.0,421.0,105.0,2.0,1.0,0.0,0.0,5.0,84.0
5149,2706802,2536.0,884.0,0.0,37.0,0.0,234.0,53.0,0.0,53.0,16.0,894.0,223.0,23.0,0.0,95.0,13.0,0.0,0.0,0.0,0.0,4.0,7.0
5150,2706901,9059.0,4016.0,0.0,172.0,35.0,441.0,225.0,0.0,211.0,65.0,2526.0,797.0,144.0,0.0,325.0,55.0,0.0,1.0,0.0,4.0,2.0,40.0
5151,2707008,481.0,123.0,0.0,7.0,0.0,31.0,4.0,0.0,0.0,1.0,293.0,3.0,5.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5152,2707107,6237.0,1757.0,0.0,99.0,4.0,387.0,61.0,0.0,1.0,97.0,3413.0,307.0,20.0,0.0,61.0,8.0,0.0,1.0,0.0,0.0,2.0,19.0
5153,2707206,3093.0,787.0,0.0,88.0,4.0,199.0,37.0,0.0,0.0,69.0,1762.0,62.0,25.0,0.0,38.0,16.0,0.0,0.0,0.0,0.0,0.0,6.0
5154,2707305,6195.0,2151.0,0.0,281.0,10.0,299.0,205.0,0.0,35.0,137.0,2508.0,244.0,93.0,0.0,178.0,26.0,0.0,0.0,0.0,0.0,4.0,24.0
5155,2707404,1743.0,629.0,0.0,31.0,1.0,94.0,27.0,0.0,90.0,15.0,713.0,72.0,8.0,0.0,43.0,3.0,0.0,0.0,0.0,0.0,1.0,16.0
5156,2707503,2770.0,848.0,0.0,40.0,4.0,137.0,32.0,0.0,6.0,36.0,1427.0,140.0,33.0,0.0,49.0,8.0,0.0,1.0,0.0,0.0,0.0,9.0
5157,2707602,2415.0,639.0,0.0,39.0,1.0,167.0,42.0,0.0,2.0,17.0,1383.0,64.0,19.0,0.0,26.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0
5158,2707701,20713.0,9776.0,0.0,576.0,170.0,1084.0,541.0,0.0,669.0,235.0,6029.0,326.0,319.0,0.0,564.0,311.0,4.0,0.0,0.0,0.0,10.0,99.0
5159,2707800,1170.0,488.0,0.0,16.0,1.0,62.0,46.0,0.0,15.0,24.0,432.0,24.0,13.0,0.0,32.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0
5160,2707909,1431.0,682.0,0.0,28.0,0.0,73.0,30.0,0.0,37.0,4.0,462.0,14.0,49.0,0.0,41.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0
5161,2708006,19047.0,5054.0,0.0,507.0,13.0,1139.0,198.0,0.0,18.0,277.0,10279.0,902.0,81.0,0.0,408.0,86.0,0.0,1.0,0.0,0.0,11.0,73.0
5162,2708105,2999.0,586.0,0.0,71.0,2.0,185.0,33.0,0.0,3.0,31.0,1880.0,127.0,16.0,0.0,43.0,15.0,0.0,0.0,0.0,0.0,0.0,7.0
5163,2708204,624.0,185.0,0.0,9.0,0.0,44.0,20.0,0.0,0.0,3.0,324.0,24.0,8.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
