,area,id_municipio
899,1175.044,2300754
900,259.706,2300804
901,543.98,2300903
902,480.236,2301000
903,1227.197,2301109
904,643.988,2301208
905,342.301,2301257
906,1097.339,2301307
907,119.758,2301406
908,1068.437,2301505
909,1155.124,2301604
910,885.87,2301703
911,145.556,2301802
912,1080.986,2301851
913,608.158,2301901
914,260.003,2301950
915,711.346,2302008
916,385.583,2302057
917,314.075,2302107
918,1596.751,2302206
919,842.106,2302305
920,2835.037,2302404
921,654.658,2302503
922,1120.452,2302602
923,1082.582,2302701
924,3032.39,2302800
925,226.549,2302909
926,926.271,2303006
927,755.597,2303105
928,634.179,2303204
929,1036.417,2303303
930,363.22,2303402
931,838.115,2303501
932,488.153,2303600
933,784.022,2303659
934,1223.246,2303709
935,729.97,2303808
936,237.248,2303907
937,815.268,2303931
938,296.431,2303956
939,750.332,2304004
940,2981.459,2304103
941,1138.15,2304202
942,696.348,2304236
943,335.921,2304251
944,471.134,2304269
945,362.906,2304277
946,78.818,2304285
947,530.54,2304301
948,568.778,2304350
949,312.353,2304400
950,285.024,2304459
951,210.284,2304509
952,230.371,2304608
953,258.942,2304657
954,2663.174,2304707
955,111.528,2304806
956,155.681,2304905
957,256.053,2304954
958,624.606,2305001
959,90.817,2305100
960,926.592,2305209
961,160.557,2305233
962,879.255,2305266
963,414.092,2305308
964,423.856,2305332
965,421.44,2305357
966,1865.862,2305407
967,992.208,2305506
968,3222.381,2305605
969,704.773,2305654
970,276.508,2305704
971,626.049,2305803
972,1483.258,2305902
973,839.174,2306009
974,1466.412,2306108
975,213.604,2306207
976,153.686,2306256
977,432.188,2306306
978,1600.358,2306405
979,593.231,2306504
980,714.833,2306553
981,829.626,2306603
982,1826.826,2306702
983,622.963,2306801
984,1877.062,2306900
985,854.362,2307007
986,544.98,2307106
987,368.359,2307205
988,209.029,2307254
989,258.788,2307304
990,940.336,2307403
991,945.263,2307502
992,744.525,2307601
993,997.781,2307635
994,105.071,2307650
995,583.505,2307700
996,573.61,2307809
997,303.445,2307908
998,567.78,2308005
999,1079.011,2308104
1000,151.651,2308203
1001,579.097,2308302
1002,502.137,2308351
1003,708.678,2308377
1004,613.317,2308401
1005,2115.748,2308500
1006,892.538,2308609
1007,2763.971,2308708
1008,414.446,2308807
1009,411.586,2308906
1010,192.19,2309003
1011,97.951,2309102
1012,282.584,2309201
1013,736.911,2309300
1014,947.44,2309409
1015,763.075,2309458
1016,577.526,2309508
1017,250.304,2309607
1018,133.236,2309706
1019,112.433,2309805
1020,88.355,2309904
1021,436.98,2310001
1022,128.896,2310100
1023,304.734,2310209
1024,289.231,2310258
1025,2313.868,2310308
1026,539.238,2310407
1027,1302.081,2310506
1028,150.536,2310605
1029,1379.836,2310704
1030,435.868,2310803
1031,74.033,2310852
1032,589.601,2310902
1033,244.464,2310951
1034,1310.771,2311009
1035,224.86,2311108
1036,343.264,2311207
1037,409.137,2311231
1038,1041.832,2311264
1039,2020.586,2311306
1040,605.345,2311355
1041,3324.987,2311405
1042,613.099,2311504
1043,247.989,2311603
1044,372.949,2311702
1045,1611.091,2311801
1046,1381.274,2311900
1047,806.253,2311959
1048,972.573,2312007
1049,855.165,2312106
1050,4262.293,2312205
1051,350.847,2312304
1052,842.635,2312403
1053,279.451,2312502
1054,122.865,2312601
1055,956.882,2312700
1056,424.642,2312809
1057,2068.474,2312908
1058,1535.855,2313005
1059,1047.637,2313104
1060,2014.543,2313203
1061,412.719,2313252
1062,4010.618,2313302
1063,758.707,2313351
1064,909.853,2313401
1065,928.725,2313500
1066,201.27,2313559
1067,423.673,2313609
1068,263.183,2313708
1069,315.648,2313757
1070,99.4,2313807
1071,697.683,2313906
1072,179.239,2313955
1073,829.976,2314003
1074,1310.91,2314102
1075,608.466,2400109
1076,1303.442,2400208
1077,576.179,2400307
1078,50.684,2400406
1079,381.205,2400505
1080,128.038,2400604
1081,191.334,2400703
1082,741.582,2400802
1083,244.897,2400901
1084,1602.477,2401008
1085,342.749,2401107
1086,115.407,2401206
1087,896.954,2401305
1088,247.484,2401404
1089,825.681,2401453
1090,152.626,2401503
1091,301.069,2401602
1092,253.519,2401651
1093,122.035,2401701
1094,61.559,2401800
1095,225.633,2401859
1096,261.194,2401909
1097,1228.584,2402006
1098,213.727,2402105
1099,245.485,2402204
1100,1095.803,2402303
1101,246.308,2402402
1102,517.737,2402501
1103,724.838,2402600
1104,393.573,2402709
1105,185.748,2402808
1106,117.139,2402907
1107,295.83,2403004
1108,864.349,2403103
1109,113.737,2403202
1110,124.006,2403251
1111,125.749,2403301
1112,264.985,2403400
1113,135.838,2403509
1114,140.639,2403608
1115,268.591,2403707
1116,322.628,2403756
1117,507.892,2403806
1118,181.558,2403905
1119,63.279,2404002
1120,340.769,2404101
1121,192.279,2404200
1122,1129.55,2404309
