,codigo_tse,qt_aptos_1t_2022,qt_aptos_2t_2022,qt_comparecimento_1t_2022,qt_comparecimento_2t_2022,qt_abstencao_1t_2022,qt_abstencao_2t_2022,qt_aptos_1t_2020,qt_aptos_2t_2020,qt_comparecimento_1t_2020,qt_comparecimento_2t_2020,qt_abstencao_1t_2020,qt_abstencao_2t_2020,qt_aptos_1t_2018,qt_aptos_2t_2018,qt_comparecimento_1t_2018,qt_comparecimento_2t_2018,qt_abstencao_1t_2018,qt_abstencao_2t_2018,id_municipio
77,2038,10845,10845,8239,7462,2606,3383,10266.0,,8693.0,,1573.0,,9724,9724,7272,6335,2452,3389,1300102
78,2046,16774,16774,13051,11781,3723,4993,15775.0,,13308.0,,2467.0,,15290,15290,12283,10759,3007,4531,1301159
79,2054,9046,9046,6275,6179,2771,2867,8602.0,,6914.0,,1688.0,,7930,7930,5430,5176,2500,2754,1300201
80,2070,28953,28953,21983,20157,6970,8796,26365.0,,22322.0,,4043.0,,25296,25296,19855,18069,5441,7227,1300300
81,2097,11837,11837,7586,7550,4251,4287,11301.0,,8588.0,,2713.0,,10506,10506,6583,5908,3923,4598,1300409
82,2119,21126,21126,16789,16100,4337,5026,20100.0,,16577.0,,3523.0,,18318,18318,13993,13340,4325,4978,1300508
83,2135,22308,22308,16989,17015,5319,5293,21269.0,,17248.0,,4021.0,,20448,20448,15738,15245,4710,5203,1300607
84,2151,23042,23042,16280,16512,6762,6530,22558.0,,17327.0,,5231.0,,20977,20977,14767,14216,6210,6761,1300706
85,2178,20957,20957,16630,16430,4327,4527,22473.0,,18305.0,,4168.0,,20306,20306,14522,13762,5784,6544,1300805
86,2194,10086,10086,7051,6897,3035,3189,9238.0,,7441.0,,1797.0,,8375,8375,5623,5426,2752,2949,1300904
87,2216,21605,21605,14137,14782,7468,6823,20626.0,,15415.0,,5211.0,,19350,19350,12082,12781,7268,6569,1301001
88,2232,24256,24256,17599,16530,6657,7726,22649.0,,18671.0,,3978.0,,21052,21052,16188,14779,4864,6273,1301100
89,2259,51739,51739,36086,34500,15653,17239,49702.0,,38815.0,,10887.0,,50320,50320,35780,33547,14540,16773,1301209
90,2275,16506,16506,11954,11099,4552,5407,15680.0,,12572.0,,3108.0,,14438,14438,9894,8973,4544,5465,1301308
91,2291,20144,20144,14608,15233,5536,4911,22381.0,,16453.0,,5928.0,,20769,20769,13032,13143,7737,7626,1301407
92,2313,12125,12125,7566,7612,4559,4513,11528.0,,8211.0,,3317.0,,11453,11453,6351,6882,5102,4571,1301506
93,2330,16488,16488,11800,11579,4688,4909,15485.0,,12724.0,,2761.0,,14879,14879,10061,10047,4818,4832,1301605
94,2356,32902,32902,24443,24301,8459,8601,31604.0,,24800.0,,6804.0,,28568,28568,20121,19173,8447,9395,1301704
95,2372,8946,8946,5603,5317,3343,3629,8353.0,,5936.0,,2417.0,,7957,7957,4563,4335,3394,3622,1303601
96,2399,11984,11984,7752,7760,4232,4224,11608.0,,9201.0,,2407.0,,10772,10772,7014,6988,3758,3784,1301803
97,2410,71241,71241,55012,51666,16229,19575,67270.0,,53035.0,,14235.0,,66385,66385,51332,47664,15053,18721,1301902
98,2437,8357,8357,6465,6245,1892,2112,7873.0,,6828.0,,1045.0,,7230,7230,5459,4906,1771,2324,1302009
99,2453,5149,5149,3438,3114,1711,2035,4771.0,,3908.0,,863.0,,4455,4455,2937,2770,1518,1685,1302108
100,2470,7915,7915,5362,5055,2553,2860,7577.0,,5867.0,,1710.0,,7136,7136,4445,4455,2691,2681,1302207
101,2496,14371,14371,9544,9799,4827,4572,13329.0,,10896.0,,2433.0,,12412,12412,8072,8074,4340,4338,1302306
102,2518,27161,27161,19213,18888,7948,8273,25441.0,,19481.0,,5960.0,,24266,24266,16579,16063,7687,8203,1302405
103,2534,72802,72802,57672,54753,15130,18049,67504.0,,55924.0,,11580.0,,66014,66014,52338,48309,13676,17705,1302504
104,2550,1415958,1415958,1200210,1188538,215748,227420,1331613.0,1331613.0,1088826.0,1032901.0,242787.0,298712.0,1320059,1320059,1152721,1143094,167338,176965,1302603
105,2577,33205,33205,24583,24066,8622,9139,30846.0,,24278.0,,6568.0,,28013,28013,19297,18583,8716,9430,1302702
106,2593,10148,10148,6147,5553,4001,4595,9616.0,,7582.0,,2034.0,,9620,9620,5628,5253,3992,4367,1302801
107,2615,36977,36977,27401,25782,9576,11195,34283.0,,26936.0,,7347.0,,30959,30959,21983,20659,8976,10300,1302900
108,2631,14389,14389,11209,10822,3180,3567,13843.0,,11927.0,,1916.0,,13080,13080,9548,9096,3532,3984,1303007
109,2658,19088,19088,14349,13501,4739,5587,18265.0,,14619.0,,3646.0,,16906,16906,12060,11100,4846,5806,1303106
110,2674,13708,13708,9477,9301,4231,4407,13070.0,,10338.0,,2732.0,,12347,12347,8256,7817,4091,4530,1303304
111,2690,72964,72964,55341,52488,17623,20476,69583.0,,52202.0,,17381.0,,68263,68263,51603,49771,16660,18492,1303403
112,2712,11419,11419,7736,7416,3683,4003,10681.0,,8300.0,,2381.0,,10224,10224,6543,6477,3681,3747,1303502
113,2739,16370,16370,12787,12721,3583,3649,15154.0,,13112.0,,2042.0,,13907,13907,10584,10387,3323,3520,1303700
114,2755,18566,18566,14942,14870,3624,3696,17604.0,,15225.0,,2379.0,,16924,16924,13587,13353,3337,3571,1303908
115,2771,8330,8330,6520,6072,1810,2258,7561.0,,6425.0,,1136.0,,7169,7169,5609,4996,1560,2173,1304005
116,2798,14068,14068,9753,9153,4315,4915,13143.0,,10689.0,,2454.0,,12725,12725,8589,8201,4136,4524,1304104
117,2810,42096,42096,34093,33302,8003,8794,44504.0,,35075.0,,9429.0,,41032,41032,30191,28902,10841,12130,1304203
118,2836,32106,32106,21709,22005,10397,10101,31185.0,,22938.0,,8247.0,,29195,29195,18951,18051,10244,11144,1303809
119,2852,12284,12284,9013,8601,3271,3683,11723.0,,9779.0,,1944.0,,11577,11577,8451,7725,3126,3852,1304302
120,2879,13201,13201,9791,9252,3410,3949,12592.0,,10491.0,,2101.0,,12212,12212,8920,8051,3292,4161,1304401
121,2895,11366,11366,8717,8474,2649,2892,10876.0,,9169.0,,1707.0,,9770,9770,7255,7041,2515,2729,1300029
122,2917,6814,6814,5424,5403,1390,1411,6432.0,,5559.0,,873.0,,5910,5910,4675,4614,1235,1296,1300060
123,2933,8676,8676,6487,6041,2189,2635,8098.0,,6776.0,,1322.0,,7452,7452,5554,6191,1898,1261,1300086
124,2950,13842,13842,10438,9015,3404,4827,12916.0,,10995.0,,1921.0,,11755,11755,8835,7985,2920,3770,1300631
125,2976,12727,12727,9708,9267,3019,3460,11667.0,,9795.0,,1872.0,,10837,10837,8000,7827,2837,3010,1300680
126,2992,9630,9630,7133,6235,2497,3395,8966.0,,7473.0,,1493.0,,8152,8152,5904,5172,2248,2980,1300839
127,3000,6496,6496,5646,5260,850,1236,5841.0,,5051.0,,790.0,,5639,5639,5117,4702,522,937,1400233
128,3018,232392,232392,192275,185739,40117,46653,217477.0,217477.0,165428.0,149223.0,52049.0,68254.0,218304,218304,184591,177959,33713,40345,1400100
129,3026,5757,5757,4988,4342,769,1415,5328.0,,4500.0,,828.0,,5025,5025,4458,3927,567,1098,1400282
130,3034,14175,14175,11703,10002,2472,4173,13468.0,,11061.0,,2407.0,,12489,12489,10859,9370,1630,3119,1400209
131,3042,6521,6521,5620,4744,901,1777,6019.0,,5172.0,,847.0,,5716,5716,5276,4686,440,1030,1400027
132,3050,10932,10932,9311,8274,1621,2658,10525.0,,8884.0,,1641.0,,9537,9537,8641,7641,896,1896,1400050
133,3069,13377,13377,11314,9934,2063,3443,12894.0,,10768.0,,2126.0,,11001,11001,9901,9042,1100,1959,1400175
134,3077,10221,10221,8661,7688,1560,2533,9665.0,,8211.0,,1454.0,,8379,8379,7608,6907,771,1472,1400159
